"exp_day","treatment_group","chamber","cell_count"
18,150,3,229200
18,150,14,137300
18,150,14,170550
18,150,14,140400
18,150,14,158500
18,150,14,158600
18,150,14,175500
18,150,14,153250
18,150,14,115550
19,0,5,3310900
19,0,5,3377500
19,0,5,3206900
19,0,5,3124900
19,0,5,3203950
19,0,5,3151950
19,0,5,3096200
19,0,5,2976750
19,0,11,2600900
19,0,11,2642900
19,0,11,2524450
19,0,11,2605800
19,0,11,2444150
19,0,11,2427500
19,0,11,2515050
19,0,11,2356300
19,100,1,498050
19,100,1,536350
19,100,1,511500
19,100,1,516200
19,100,1,510650
19,100,1,502250
19,100,1,486450
19,100,1,451500
19,100,12,527850
19,100,12,528650
19,100,12,499050
19,100,12,495100
19,100,12,475000
19,100,12,477450
19,100,12,486350
19,100,12,447650
19,150,3,170900
19,150,3,178450
19,150,3,162600
19,150,3,164200
19,150,3,149750
19,150,3,161500
19,150,3,157250
19,150,3,127350
19,150,14,75150
19,150,14,84300
19,150,14,84750
19,150,14,91500
19,150,14,86750
19,150,14,78050
19,150,14,86800
19,150,14,74150
20,0,5,2585700
20,0,5,2855100
20,0,5,2596200
20,0,5,2611800
20,0,5,2581800
20,0,5,2532100
20,0,5,2649500
20,0,5,2534700
20,0,11,2117800
20,0,11,2304500
20,0,11,2311600
20,0,11,2405700
20,0,11,2193900
20,0,11,2275900
20,0,11,2115700
20,0,11,2345200
20,100,1,469900
20,100,1,424900
20,100,1,413200
20,100,1,433800
20,100,1,406600
20,100,1,424400
20,100,1,370200
20,100,1,414600
20,100,12,495200
20,100,12,575200
20,100,12,527900
20,100,12,496400
20,100,12,553500
20,100,12,553400
20,100,12,485700
20,100,12,505500
20,150,3,219700
20,150,3,205500
20,150,3,234300
20,150,3,214600
20,150,3,208800
20,150,3,202300
20,150,3,202600
20,150,3,213800
20,150,14,127000
20,150,14,117500
20,150,14,114900
20,150,14,116300
20,150,14,131600
20,150,14,124200
20,150,14,118900
20,150,14,97600
21,0,5,2794200
21,0,5,2775800
21,0,5,2830900
21,0,5,2651500
21,0,5,2858500
21,0,5,2675100
21,0,5,2737500
21,0,5,2555200
21,0,11,1851200
21,0,11,1971300
21,0,11,1887400
21,0,11,1821500
21,0,11,1926500
21,0,11,1803400
21,0,11,1889800
21,0,11,1983300
21,100,1,389800
21,100,1,397100
21,100,1,387400
21,100,1,369000
21,100,1,371600
21,100,1,364800
21,100,1,377100
21,100,1,372500
21,100,12,721300
21,100,12,614000
21,100,12,633200
21,100,12,604300
21,100,12,653800
21,100,12,585000
21,100,12,589000
21,100,12,614400
21,150,3,185800
21,150,3,192800
21,150,3,175500
21,150,3,207900
21,150,3,174000
21,150,3,190200
21,150,3,177800
21,150,3,164200
21,150,14,83800
21,150,14,91900
21,150,14,83100
21,150,14,100800
21,150,14,82800
21,150,14,89600
21,150,14,77700
21,150,14,85300
22,0,5,3464800
22,0,5,3804600
22,0,5,3516900
22,0,5,3777400
22,0,5,3714900
22,0,5,3602500
22,0,5,3470000
22,0,5,3448200
22,0,11,3080300
22,0,11,3250900
22,0,11,3153600
22,0,11,2892300
22,0,11,3253000
22,0,11,3008900
22,0,11,3159700
22,0,11,3102000
23,0,5,2987700
23,0,5,2881900
23,0,5,2881100
23,0,5,2879900
23,0,5,2831800
23,0,5,2719100
23,0,5,2754200
23,0,5,2367800
23,0,11,2002300
23,0,11,1976300
23,0,11,2009100
23,0,11,2086500
23,0,11,2112300
23,0,11,2152800
23,0,11,2023000
23,0,11,1952100
23,100,1,803200
23,100,1,901200
23,100,1,926100
23,100,1,891400
23,100,1,933000
23,100,1,929800
23,100,1,871600
23,100,1,843700
23,100,12,1159000
23,100,12,1023000
23,100,12,1155900
23,100,12,1130700
23,100,12,1149300
23,100,12,1097800
23,100,12,1088300
23,100,12,1071700
23,150,3,174000
23,150,3,173500
23,150,3,149800
23,150,3,177500
23,150,3,154300
23,150,3,156700
23,150,3,147800
23,150,3,118900
23,150,14,54400
23,150,14,64400
23,150,14,63000
23,150,14,54500
23,150,14,56300
23,150,14,54400
23,150,14,56900
23,150,14,48700
24,0,5,2581100
24,0,5,2486100
24,0,5,2410900
24,0,5,2469500
24,0,5,2505100
24,0,5,2672700
24,0,5,2484800
24,0,5,2385700
24,0,11,1802300
24,0,11,1627800
24,0,11,1728200
24,0,11,1724900
24,0,11,1877600
24,0,11,1815200
24,0,11,1976000
24,0,11,2200500
24,100,1,1307200
24,100,1,1370200
24,100,1,1402200
24,100,1,1518000
24,100,1,1353500
24,100,1,1473200
24,100,1,1492000
24,100,1,1473400
24,100,12,1327800
24,100,12,1322500
24,100,12,1256600
24,100,12,1341200
24,100,12,1448700
24,100,12,1648600
24,100,12,1726000
24,100,12,1832100
24,150,3,118600
24,150,3,116700
24,150,3,114700
24,150,3,100300
24,150,3,111600
24,150,3,111100
24,150,3,115600
24,150,3,108000
24,150,14,32200
24,150,14,28200
24,150,14,27000
24,150,14,25800
24,150,14,32800
24,150,14,31300
24,150,14,27100
24,150,14,26400
