"cell_count","exp_day","chamber","test","rpm"
2329800,3,"11","failed1.5","2.5RPM"
2543400,3,"4","failed1.5","2.5RPM"
2667900,3,"12","failed1.5","2.5RPM"
2641800,3,"5","failed1.5","2.5RPM"
2474400,3,"13","failed1.5","2.5RPM"
2133000,3,"6","failed1.5","2.5RPM"
1778100,3,"14","failed1.5","2.5RPM"
3453900,3,"7","failed1.5","2.5RPM"
2533500,3,"15","failed1.5","2.5RPM"
1811400,3,"8","failed1.5","2.5RPM"
2553900,3,"16","failed1.5","2.5RPM"
1872600,4,"1","failed1.5","2.5RPM"
3903000,4,"9","failed1.5","2.5RPM"
2710200,4,"2","failed1.5","2.5RPM"
1800600,4,"10","failed1.5","2.5RPM"
2702400,4,"3","failed1.5","2.5RPM"
2914500,4,"11","failed1.5","2.5RPM"
1889400,4,"4","failed1.5","2.5RPM"
3432300,4,"12","failed1.5","2.5RPM"
2728800,4,"5","failed1.5","2.5RPM"
3463500,4,"13","failed1.5","2.5RPM"
2626200,4,"6","failed1.5","2.5RPM"
2809800,4,"14","failed1.5","2.5RPM"
2800200,4,"7","failed1.5","2.5RPM"
1509600,4,"15","failed1.5","2.5RPM"
1434600,4,"8","failed1.5","2.5RPM"
3053700,4,"16","failed1.5","2.5RPM"
2290500,5,"1","failed1.5","2.5RPM"
3166800,5,"9","failed1.5","2.5RPM"
1380600,5,"2","failed1.5","2.5RPM"
1746600,5,"10","failed1.5","2.5RPM"
2244600,5,"3","failed1.5","2.5RPM"
3362400,5,"11","failed1.5","2.5RPM"
2096700,5,"4","failed1.5","2.5RPM"
2775900,5,"12","failed1.5","2.5RPM"
3030300,5,"5","failed1.5","2.5RPM"
3305700,5,"13","failed1.5","2.5RPM"
2510700,5,"6","failed1.5","2.5RPM"
2401200,5,"14","failed1.5","2.5RPM"
2894100,5,"7","failed1.5","2.5RPM"
1294800,5,"15","failed1.5","2.5RPM"
1830300,5,"8","failed1.5","2.5RPM"
1289100,5,"16","failed1.5","2.5RPM"
1772100,7,"9","failed1.5","2.5RPM"
1392300,7,"4","failed1.5","2.5RPM"
2028600,7,"13","failed1.5","2.5RPM"
1502400,7,"8","failed1.5","2.5RPM"
1645200,8,"9","failed1.5","2.5RPM"
1615800,8,"4","failed1.5","2.5RPM"
1639500,8,"13","failed1.5","2.5RPM"
1668900,8,"8","failed1.5","2.5RPM"
1472700,9,"9","failed1.5","2.5RPM"
2261700,9,"4","failed1.5","2.5RPM"
1963800,9,"13","failed1.5","2.5RPM"
1673700,9,"8","failed1.5","2.5RPM"
1989000,10,"9","failed1.5","2.5RPM"
2035200,10,"4","failed1.5","2.5RPM"
1867200,10,"13","failed1.5","2.5RPM"
1631700,10,"8","failed1.5","2.5RPM"
2107500,12,"9","failed1.5","2.5RPM"
2041500,12,"4","failed1.5","2.5RPM"
2300700,12,"13","failed1.5","2.5RPM"
1855500,12,"8","failed1.5","2.5RPM"
2802900,13,"9","failed1.5","2.5RPM"
2425800,13,"4","failed1.5","2.5RPM"
3489300,13,"13","failed1.5","2.5RPM"
2272800,13,"8","failed1.5","2.5RPM"
2643000,14,"9","failed1.5","2.5RPM"
1649700,14,"4","failed1.5","2.5RPM"
2536800,14,"13","failed1.5","2.5RPM"
1382700,14,"8","failed1.5","2.5RPM"
2386200,15,"9","failed1.5","2.5RPM"
2059200,15,"4","failed1.5","2.5RPM"
1119300,15,"13","failed1.5","2.5RPM"
1377600,15,"8","failed1.5","2.5RPM"
1707300,16,"9","failed1.5","2.5RPM"
2177400,16,"4","failed1.5","2.5RPM"
2025000,16,"13","failed1.5","2.5RPM"
1386000,16,"8","failed1.5","2.5RPM"
2281500,17,"9","failed1.5","2.5RPM"
2393700,17,"4","failed1.5","2.5RPM"
1760100,17,"13","failed1.5","2.5RPM"
1709700,17,"8","failed1.5","2.5RPM"
1516500,18,"9","failed1.5","2.5RPM"
2125500,18,"4","failed1.5","2.5RPM"
1106700,18,"13","failed1.5","2.5RPM"
1324200,18,"8","failed1.5","2.5RPM"
1610700,19,"9","failed1.5","2.5RPM"
1915200,19,"4","failed1.5","2.5RPM"
1083000,19,"13","failed1.5","2.5RPM"
1718100,19,"8","failed1.5","2.5RPM"
2226600,20,"9","failed1.5","2.5RPM"
1768800,20,"4","failed1.5","2.5RPM"
1884900,20,"13","failed1.5","2.5RPM"
2156100,20,"8","failed1.5","2.5RPM"
1680300,21,"9","failed1.5","2.5RPM"
1059000,21,"4","failed1.5","2.5RPM"
2418900,21,"13","failed1.5","2.5RPM"
1751400,21,"8","failed1.5","2.5RPM"
2221200,22,"9","failed1.5","2.5RPM"
2289000,22,"4","failed1.5","2.5RPM"
3520200,22,"13","failed1.5","2.5RPM"
1959600,22,"8","failed1.5","2.5RPM"
2423700,23,"9","failed1.5","2.5RPM"
2583300,23,"4","failed1.5","2.5RPM"
3221700,23,"13","failed1.5","2.5RPM"
1130700,23,"8","failed1.5","2.5RPM"
1134000,25,"9","failed1.5","2.5RPM"
2366700,25,"4","failed1.5","2.5RPM"
2940900,25,"13","failed1.5","2.5RPM"
1464000,25,"8","failed1.5","2.5RPM"
2610300,26,"9","failed1.5","2.5RPM"
2401200,26,"4","failed1.5","2.5RPM"
3513900,26,"13","failed1.5","2.5RPM"
999000,26,"8","failed1.5","2.5RPM"
2371800,27,"9","failed1.5","2.5RPM"
2770800,27,"4","failed1.5","2.5RPM"
3398400,27,"13","failed1.5","2.5RPM"
1681500,27,"8","failed1.5","2.5RPM"
2228100,28,"9","failed1.5","2.5RPM"
1596300,28,"4","failed1.5","2.5RPM"
3333300,28,"13","failed1.5","2.5RPM"
1181100,28,"8","failed1.5","2.5RPM"
1711500,3,"2","pilot1.25RPM","1.25RPM"
2990100,3,"3","pilot1.25RPM","1.25RPM"
2511300,3,"14","pilot1.25RPM","1.25RPM"
2491200,3,"3","pilot1.25RPM","1.25RPM"
2279100,3,"11","pilot1.25RPM","1.25RPM"
2076600,3,"12","pilot1.25RPM","1.25RPM"
1944000,3,"1","pilot1.25RPM","1.25RPM"
927300,3,"2","pilot1.25RPM","1.25RPM"
2948100,3,"3","pilot1.25RPM","1.25RPM"
2156400,3,"11","pilot1.25RPM","1.25RPM"
2461800,3,"14","pilot1.25RPM","1.25RPM"
2882700,3,"3","pilot1.25RPM","1.25RPM"
2142300,3,"11","pilot1.25RPM","1.25RPM"
1815300,3,"12","pilot1.25RPM","1.25RPM"
2218200,4,"2","pilot1.25RPM","1.25RPM"
1332300,4,"14","pilot1.25RPM","1.25RPM"
2127600,4,"2","pilot1.25RPM","1.25RPM"
2084700,4,"3","pilot1.25RPM","1.25RPM"
2817300,4,"11","pilot1.25RPM","1.25RPM"
1963500,4,"12","pilot1.25RPM","1.25RPM"
1953000,4,"1","pilot1.25RPM","1.25RPM"
2448000,4,"11","pilot1.25RPM","1.25RPM"
1100100,4,"12","pilot1.25RPM","1.25RPM"
2057100,4,"2","pilot1.25RPM","1.25RPM"
2026200,4,"3","pilot1.25RPM","1.25RPM"
2680800,4,"11","pilot1.25RPM","1.25RPM"
2099100,5,"11","pilot1.25RPM","1.25RPM"
1924800,5,"12","pilot1.25RPM","1.25RPM"
1145700,5,"14","pilot1.25RPM","1.25RPM"
1467900,5,"3","pilot1.25RPM","1.25RPM"
2181300,5,"11","pilot1.25RPM","1.25RPM"
1849800,5,"12","pilot1.25RPM","1.25RPM"
1763400,5,"1","pilot1.25RPM","1.25RPM"
1707600,5,"2","pilot1.25RPM","1.25RPM"
1910100,9,"11","pilot1.25RPM","1.25RPM"
2834400,9,"12","pilot1.25RPM","1.25RPM"
1499700,9,"2","pilot1.25RPM","1.25RPM"
2477100,9,"14","pilot1.25RPM","1.25RPM"
1548000,9,"2","pilot1.25RPM","1.25RPM"
2248500,9,"3","pilot1.25RPM","1.25RPM"
2665800,10,"14","pilot1.25RPM","1.25RPM"
